Source,Target,BLEU,"Data Size (parallel sentences, K)"
pt-br,swe,14.6,
pt-br,tur,5.3,
pt-br,ukr,10.8,
pt-br,vie,18.8,
pt-br,cmn,13.2,
pt-br,zh-tw,6.7,
ron,ara,3.2,71
ron,bul,9.7,69
ron,bos,3.7,37
ron,ces,5.1,82
ron,dan,9.4,70
ron,deu,7.5,129
ron,ell,10.4,78
ron,eng,25,631
ron,epo,6.7,43
ron,spa,18.8,183
ron,fra,19.3,206
ron,fr-ca,14.6,
ron,glg,10,56
ron,heb,4,67
ron,hrv,5.7,51
ron,hun,5.9,87
ron,ind,11,94
ron,ita,15.5,161
ron,jpn,4.3,79
ron,kor,6.4,47
ron,mkd,7.3,56
ron,nob,8,
ron,nld,8.1,96
ron,pol,5.2,97
ron,por,15.4,177
ron,pt-br,17.7,
ron,rus,8,136
ron,slk,3.6,42
ron,slv,5,49
ron,srp,1.9,58
ron,swe,7,75
ron,tur,3.3,72
ron,ukr,6.6,82
ron,vie,12.7,96
ron,cmn,7.8,74
ron,zh-tw,4.9,
rus,ara,3.3,125
rus,bul,12.6,270
rus,bos,4.2,59
rus,ces,7.7,186
rus,dan,8.5,109
rus,deu,8.8,368
rus,ell,8.3,114
rus,eng,18.7,1661
rus,epo,9.9,81
rus,spa,14.3,393
rus,fra,14.5,410
rus,fr-ca,11,
rus,glg,6,84
rus,heb,4.9,131
rus,hrv,6.8,85
rus,hun,5.6,149
rus,ind,9.5,127
rus,ita,11.7,303
rus,jpn,6.1,196
rus,kor,7.7,89
rus,mkd,7.4,88
rus,nob,8,
rus,nld,8.1,199
rus,pol,8.9,285
rus,por,12.4,312
rus,pt-br,13.9,
rus,ron,8.2,136
rus,slk,5.8,85
rus,slv,5.4,78
rus,srp,2.7,114
rus,swe,8.2,140
rus,tur,2.9,119
rus,ukr,22.5,2486
rus,vie,11.5,122
rus,cmn,9.1,148
rus,zh-tw,5.2,
slk,ara,0.7,32
slk,bul,5.1,43
slk,bos,2.7,25
slk,ces,27,474
slk,dan,4.3,39
slk,deu,5.7,94
slk,ell,3.2,35
slk,eng,16.9,178
slk,epo,9.3,41
slk,spa,9.4,81
slk,fra,8.5,83
slk,fr-ca,6.7,
slk,glg,2.7,29
slk,heb,1,36
slk,hrv,5.1,35
slk,hun,3.7,56
slk,ind,4.9,37
slk,ita,6.9,72
slk,jpn,2.2,48
slk,kor,3.9,25
slk,mkd,3.5,29
slk,nob,4.9,
slk,nld,5,66
slk,pol,7.1,81
slk,por,7.8,71
slk,pt-br,8.5,
slk,ron,3.5,42
slk,rus,6.6,85
slk,slv,5,36
slk,srp,1.5,34
slk,swe,4.3,51
slk,tur,1.6,37
slk,ukr,5.4,51
slk,vie,5.4,38
slk,cmn,2.3,38
slk,zh-tw,2.5,
slv,ara,1.2,39
slv,bul,6.2,46
slv,bos,7.6,34
slv,ces,5.5,64
slv,dan,4.7,40
slv,deu,7.6,106
slv,ell,5.8,46
slv,eng,17.3,318
slv,epo,5.9,32
slv,spa,11.4,93
slv,fra,8.5,86
