Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
uk,pl,0.33,4,50,0.0003,10000,10000,1.0,0.5,0.3699,0.4591,0.6162,0.4504,0.028999999999999998
uk,pt,0.17,32,22,0.0005,10000,10000,1.0,0.9333,0.4412,0.4225,0.0002,0.4048,0.1164
uk,ro,0.28,10,44,0.0005,10000,10000,1.0,0.8889,0.4528,0.4419,0.6409999999999999,0.3519,0.0099
uk,ru,0.42,1,53,0.0047,10000,10000,1.0,0.2,0.3695,0.4288,0.6162,0.385,0.1673
uk,sn,0.12,38,16,0.0,592,10000,0.0592,1.0,0.7308,0.5868,0.0002,0.4752,0.3642
uk,so,0.09,46,8,0.0003,1246,10000,0.1246,1.0,0.6024,0.5908,0.5687,0.5256,0.2605
uk,es,0.25,19,35,0.0006,10000,10000,1.0,0.9231,0.5169,0.5579999999999999,0.5922,0.5275,0.1095
uk,sw,0.15,36,18,0.0003,10000,10000,1.0,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,sv,0.28,10,44,0.0006,10000,10000,1.0,0.8571,0.5145,0.5231,0.0002,0.5227,0.0684
uk,ta,0.17,32,22,0.0,10000,10000,1.0,1.0,0.6577,0.6019,0.0002,0.5559,0.3269
uk,te,0.26,17,37,0.0,5991,10000,0.5991,1.0,0.6622,0.6049,0.6409999999999999,0.5157,0.3014
uk,tg,0.27,15,39,0.0012,10000,10000,1.0,0.9,0.6525,0.7697,0.0002,0.6737,0.1826
uk,tl,0.18,28,26,0.0007,10000,10000,1.0,1.0,0.5994,0.5715,0.5922,0.4828,0.4687
uk,th,0.11,42,12,0.0001,10000,10000,1.0,1.0,0.6604,0.5919,0.5687,0.4683,0.3909
uk,ti,0.04,51,3,0.0,81,10000,0.0081,1.0,0.7183,0.5868,0.0002,0.4829,0.1942
uk,tk,0.18,28,26,0.0,1152,10000,0.1152,1.0,0.7712,0.852,0.879,0.6737,0.1533
uk,tr,0.3,6,48,0.001,10000,10000,1.0,1.0,0.6941,0.6072,0.5922,0.4752,0.0572
uk,ug,0.12,38,16,0.0,1167,10000,0.1167,1.0,0.6987,0.8122,0.7877,0.6737,0.2107
uk,uz,0.29,7,47,0.0,10000,10000,1.0,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,vi,0.19,27,27,0.0005,10000,10000,1.0,1.0,0.6058,0.5973,0.5456,0.5227,0.3966
